teams
team_name,record,conference,division,manager
Arizona Diamondbacks,"69-93,",National,West,Chip Hale
Atlanta Braves,"68-93,",National,East,Fredi Gonzalez
Baltimore Orioles,"89-73,",American,East,Buck Showalter
Boston Red Sox,"93-69,",American,East,John Farrell
Chicago Cubs,"103-58,",National,Central,Joe Maddon
Chicago White Sox,"78-84,",American,Central,Robin Ventura
Cincinnati Reds,"68-94,",National,Central,Bryan Price
Cleveland Indians,"94-67,",American,Central,Terry Francona
Colorado Rockies,"75-87,",National,West,Walt Weiss
Detroid Tigers,"86-75,",American,Central,Brad Ausmus
Houston Astros,"84-78,",American,West,A.J. Hinch
Kansas City Royals,"81-81,",American,Central,Ned Yost
Los Angeles Angels of Anaheim,"74-88,",American,West,Mike Scioscia
Los Angeles Dodgers,"91-71,",National,West,Dave Roberts
Miami Marlins,"79-82,",National,East,Don Mattingly
Milwaukee Brewers,"73-89,",National,Central,Craig Counsell
Minnesota Twins,"59-103,",American,Central,Paul Molitor
New York Mets,"87-75,",National,East,Terry Collins
New York Yankees,"84-78,",American,East,Joe Girardi
Oakland Athletics,"69-93,",American,West,Bob Melvin
Philadelphia Phillies,"71-91,",National,East,Pete Mackanin
Pittsbugh Pirates,"78-83,",National,Central,Clint Hurdle
San Diego Padres,"68-94,",National,West,Andy Green
San Francisco Giants,"87-75,",National,West,Bruce Bochy
Seattle Mariners,"86-76,",American,West,Scott Servais
St. Louis Cardinals,"86-76,",National,Central,Mike Matheny
Tampa Bay Rays,"68-94,",American,East,Kevin Cash
Texas Rangers,"95-67,",American,West,Jeff Banister
Toronto Blue Jays,"89-73,",American,East,John Gibbons
Washington Nationals,"95-67,",National,East,Dusty Baker



players
player_id,first_name,last_name,position,bats,throws,contract_status,full_legal_name
141,Brian,Matusz,Pitcher,Left,Left,Free Agent,Brian Robert Matusz 
142,Ariel,Miranda,Pitcher,Left,Left,"Signed thru 2017, 1 yr/$541k (17)",Ariel (Gil) Miranda 
143,T.J.,McFarland,Pitcher,Left,Left,1st-Year Arb Eligible,Timothy John McFarland 
144,Ashur,Tolliver,Pitcher,Left,Left,Pre-Arb Eligible,Ashur Jordan Tolliver 
145,Vance,Worley,Pitcher,Right,Right,2nd-Year Arb Eligible,Vance Richard Worley 
146,Tommy,Hunter,Outfielder,Right,Right,Contract Info Unavailable,Torii Kedar Hunter 
147,Brad,Brach,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$3.05M (17)",Brad Brach 
148,Logan,Ondrusek,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$650k (17) & 18 team option",Logan Jared Ondrusek 
149,Mike,Wright,Pitcher,Right,Right,Pre-Arb Eligible,Dennis Michael Wright 
150,Odrisamer,Despaigne,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$535k (17)",Odrisamer (Orue) Despaigne 
151,Brian,Duensing,Pitcher,Left,Left,"Signed thru 2017, 1 yr/$2M (17)",Brian Matthew Duensing 
152,Darren,O'Day,Pitcher,Right,Right,"Signed thru 2019, 4 yrs/$31M (16-19)",Darren Christopher O'Day 
153,Sandy,Leon,Catcher,Both,Right,"Signed thru 2017, 1 yr/$1.3M (17)",Sandy David (Balan) Leon 
154,Hanley,Ramirez,"Shortstop, First Baseman and Third Baseman",Right,Right,"Signed thru 2018, 4 yrs/$88M (15-18) & 19 vesting option",Hanley Ramirez 
155,Dustin,Pedroia,Second Baseman,Right,Right,"Signed thru 2021, 6 yrs/$85M (16-21)",Dustin Luis Pedroia 
156,Xander,Bogaerts,Shortstop and Third Baseman,Right,Right,"Signed thru 2017, 1 yr/$4.5M (17)",Xander Jan Bogaerts 
157,Travis,Shaw,Third Baseman and First Baseman,Left,Right,"Signed thru 2017, 1 yr/$544k (17)",Travis R. Shaw 
158,Brock,Holt,"Outfielder, Third Baseman and Second Baseman",Left,Right,"Signed thru 2017, 1 yr/$1.95M (17)",Brock Wyatt Holt 
159,Jackie,Bradley,Pinch Hitter and Catcher,Right,Right,Contract Info Unavailable,John Thomas Bradley 
160,Mookie,Betts,Outfielder and Second Baseman,Right,Right,"Signed thru 2017, 1 yr/$950k (17)",Markus Lynn Betts 
